"player","sprint","bench","wngspan_hgt","jumping_reach","overall_pick","games","win_shares","genpos"
"Josh Smith",3.24,12,1.063,146,17,894,51,"Wing"
"Jrue Holiday",3.21,6,1.05,134.5,17,839,56.4,"Guard"
"Julian Wright",3.36,2,1.099,141.5,13,231,3.9,"Wing"
"Julius Hodge",3.18,14,1.083,136.5,20,23,0,"Wing"
"Justin Anderson",3.22,12,1.084,144,21,242,4.9,"Wing"
"Justin Hamilton",3.18,17,1.107,140.5,45,113,3.7,"Guard"
"Justin Harper",3.3,19,1.047,139,32,22,-0.3,"Wing"
"Kadeem Allen",3.15,7,1.113,135,53,47,1,"Guard"
"Kareem Rush",3.22,15,1.065,133.5,20,346,1.7,"Wing"
"Kawhi Leonard",3.15,3,1.115,138,15,576,83.3,"Wing"
"Keita Bates-Diop",3.17,11,1.101,141.5,48,163,3.5,"Wing"
"Keith Benson",3.35,12,1.07,145.5,48,3,0,"Big"
"Keith Bogans",3.25,10,1.066,136,43,671,20.4,"Guard"
"Kelly Olynyk",3.59,5,0.988,137.5,13,610,35.3,"Big"
"Kemba Walker",3.16,7,1.056,131,9,741,59.6,"Guard"
"Ken Johnson",3.12,13,1.063,144.5,49,16,0,"Big"
"Kenneth Faried",3.26,16,1.077,143,22,478,38.8,"Big"
"Kenny Satterfield",3.2,3,1.048,131,54,75,-1.1,"Guard"
"Kentavious Caldwell-Pope",3.12,7,1.046,135,8,683,34.6,"Guard"
"Kevin Durant",3.45,0,1.096,143.5,2,939,155.2,"Wing"
"Kevin Hervey",3.36,4,1.115,139,57,10,-0.1,"Big"
"Kevin Huerter",3.09,9,1.016,139.5,19,274,9.4,"Guard"
"Kevin Love",3.22,18,1.044,141,5,812,88.6,"Big"
"Kevin Murphy",3.42,11,1.023,135.5,47,17,-0.3,"Guard"
"Khalid El-Amin",3.32,6,1.065,125,34,50,0.6,"Guard"
"Khris Middleton",3.47,4,1.051,134,39,651,50.6,"Wing"
"Khyri Thomas",3.18,14,1.107,136,38,39,0.5,"Guard"
"Kirk Haston",3.35,11,1.053,137.5,16,27,-0.5,"Wing"
"Kirk Hinrich",3.1,10,1.043,132,7,879,52.5,"Guard"
"Kirk Snyder",3.13,19,1.038,139,16,211,4.5,"Wing"
"Klay Thompson",3.24,5,1.042,135,11,647,48.5,"Guard"
"Kostas Antetokounmpo",3.21,0,1.065,145,60,22,-0.2,"Big"
"Kris Humphries",3.2,22,1.053,142.5,14,800,30.3,"Big"
"Kris Joseph",3.46,6,1.064,139,51,10,-0.1,"Guard"
"Kwame Brown",3.45,17,1.037,141,1,607,20.8,"Big"
"Kyle Guy",3.27,4,1.052,132,55,53,0.1,"Guard"
"Kyle Korver",3.47,13,1.042,134,51,1232,73.4,"Wing"
"Kyle Kuzma",3.25,12,1.053,141.5,27,342,14.2,"Wing"
"Kyle Singler",3.21,10,1.033,136,33,356,10,"Wing"
"KZ Okpala",3.38,9,1.082,143.5,32,63,0.7,"Wing"
"LaMarcus Aldridge",3.43,8,1.082,144,2,1076,115.7,"Big"
"Lance Stephenson",3.38,10,1.078,136,40,554,17.5,"Guard"
"Landry Shamet",3.11,8,1.036,139.5,26,262,10.6,"Guard"
"Larry Sanders",3.27,7,1.105,140,15,238,10.3,"Big"
"Lavor Postell",3.3,17,1.052,138,39,61,-0.2,"Guard"
"Lawrence Roberts",3.3,18,1.025,139.5,55,87,2.5,"Big"
"Lazar Hayward",3.31,15,1.108,138,30,72,0.2,"Wing"
"Lester Hudson",3.16,12,1.125,134.5,58,57,0.2,"Guard"
"Lonny Baxter",3.21,14,1.093,140,44,162,2.9,"Big"
"Loren Woods",3.48,10,1.056,141,46,215,3.1,"Big"
"Lorenzo Brown",3.4,8,1.039,134,52,103,-0.2,"Guard"
"Luis Flores",3.1,15,1.097,130.5,55,16,0,"Guard"
"Luke Babbitt",3.4,15,1.047,142,16,381,7.2,"Wing"
"Luke Harangody",3.41,23,1.045,134.5,52,70,0.9,"Big"
"Luke Jackson",3.24,13,1.032,139,10,73,0.2,"Wing"
"Luke Ridnour",3.28,0,1.027,128,14,830,36,"Guard"
"Luol Deng",3.34,5,1.07,140,7,902,74,"Wing"
"Luther Head",3.21,14,1.044,137,24,348,14.7,"Guard"
"Malcolm Lee",3.09,17,1.076,137,43,36,0.4,"Guard"
"Malik Hairston",3.08,13,1.062,141.5,48,62,0.8,"Guard"
"Marcin Gortat",3.33,18,1.054,146,57,806,61.3,"Big"
"Marcus Haislip",3.21,8,1.043,143.5,13,89,0.5,"Big"
"Marcus Morris",3.15,11,1.038,138.5,14,718,36.4,"Wing"
"Marcus Thornton",3.02,3,1.081,140.5,43,483,20,"Guard"
"Marcus Williams",3.4,4,1.068,125.5,22,203,0,"Guard"
"Marcus Williams",3.4,4,1.068,125.5,33,13,-0.1,"Guard"
"Mardy Collins",3.27,9,1.075,140.5,29,189,-1.6,"Guard"
"Marial Shayok",3.37,9,1.101,140,54,4,-0.1,"Wing"
"Mark Madsen",3.46,13,1.056,138,29,453,8.2,"Big"
"Markieff Morris",3.4,11,1.038,138,13,715,27.1,"Big"
"Marquis Teague",3.19,8,1.086,137,29,91,-0.9,"Guard"
"Martell Webster",3.39,7,1.064,136.5,6,580,24.7,"Wing"
"Marvin Williams",3.17,12,1.108,143,2,1072,65.1,"Wing"
"Mason Plumlee",3.29,14,0.997,144,22,661,44.2,"Big"
"Matt Barnes",3.28,11,1.029,137,46,929,42.8,"Wing"
"Matt Bonner",3.32,20,1.003,137.5,45,792,38.5,"Wing"
"Matt Freije",3.25,13,1.059,139.5,53,42,-0.6,"Wing"
"Maurice Ager",3.22,11,1.06,136.5,28,82,-0.9,"Guard"
"Maurice Harkless",3.25,5,1.06,139.5,15,621,23,"Wing"
"Melvin Ely",3.35,7,1.086,140,12,375,4,"Big"
"Melvin Frazier",3.08,0,1.121,145.5,35,32,-0.4,"Wing"
"Meyers Leonard",3.41,19,1.039,140.5,11,447,15.5,"Big"
"Mfiondu Kabengele",3.25,6,1.077,145,27,51,0.4,"Big"
"Michael Beasley",3.24,19,1.066,142,2,609,15.6,"Wing"
"Michael Bradley",3.35,13,1.049,137,17,173,2,"Big"
"Michael Carter-Williams",3.22,8,1.033,142,11,391,6.6,"Guard"
"Michael Kidd-Gilchrist",3.18,6,1.08,140,2,446,21,"Wing"
"Michael Redd",3.34,12,1.055,133,43,629,55.9,"Wing"
"Mike Conley",3.09,13,1.095,135,4,958,86.8,"Guard"
"Mike Dunleavy",3.3,11,1.013,135,3,986,58.5,"Wing"
"Mike Muscala",3.44,5,1.033,141.5,44,432,16.6,"Big"
"Mike Scott",3.44,14,1.044,136.5,43,555,16.8,"Big"
"Mike Smith",3.22,12,1.025,124,35,17,-0.1,"Wing"
"Mike Taylor",3.08,2,1.089,137,55,51,-0.4,"Guard"
"Miles Plumlee",3.36,15,1.027,146,26,346,10.6,"Big"
"Miye Oni",3.17,19,1.085,139,58,80,1,"Guard"
"Monta Ellis",3.31,0,1.007,129.5,40,833,41.9,"Guard"
"Monte Morris",3.19,8,1.038,130,51,280,18.5,"Guard"
"Moritz Wagner",3.18,8,1.018,142,25,196,5.9,"Big"
"Morris Almond",3.19,13,1.068,138,25,38,0,"Wing"
"Mouhamed Sene",3.38,7,1.114,144,10,47,0.3,"Big"
"Nassir Little",3.24,5,1.114,143,25,138,3.4,"Wing"
"Nate Robinson",2.96,13,1.077,135,21,618,27.8,"Guard"
"Nick Collison",3.28,8,1.059,141,12,910,44.5,"Big"
"Nick Young",3.25,6,1.091,141,16,720,18.6,"Wing"
"Nigel Williams-Goss",3.19,10,1.078,133.5,55,10,0,"Guard"
"Nolan Smith",3.17,9,1.054,133,21,84,-0.8,"Guard"
"Norman Powell",3.2,5,1.103,143,46,421,19.5,"Guard"
"Norris Cole",3.22,11,1.028,134,28,360,3,"Guard"
"O.J. Mayo",3.14,7,1.037,140.5,3,547,21.8,"Guard"
"Omar Cook",3.2,9,1.084,127.5,32,22,-0.1,"Guard"
"Omari Spellman",3.38,8,1.075,143,30,95,2.4,"Big"
"Omri Casspi",3.28,2,1.019,139,23,588,19.6,"Wing"
"Orlando Johnson",3.25,13,1.099,138.5,36,103,1.4,"Guard"
